timestamp,x,y
0.17731690406799316,0.0,0.0
0.1943192481994629,0.0,0.0
0.2167809009552002,0.0,0.0
0.23434805870056152,0.0,0.0
0.2542552947998047,0.0,0.0
0.27437424659729004,0.0,0.0
0.2943079471588135,0.0,0.0
0.316791296005249,0.0,0.0
0.3343160152435303,0.0,0.0
0.3543365001678467,0.0,0.0
0.37441039085388184,0.0,0.0
0.3944430351257324,0.0,0.0
0.4143662452697754,0.0,0.0
0.436814546585083,0.0,0.0
0.45438647270202637,0.0,0.0
0.47438883781433105,0.0,0.0
0.49453282356262207,0.0,0.0
0.5160796642303467,0.0,0.0
0.534400224685669,0.0,0.0
0.554443359375,0.0,0.0
0.5744550228118896,0.0,0.0
0.594423770904541,0.0,0.0
0.6144335269927979,0.0,0.0
0.6348657608032227,0.0,0.0
0.6546709537506104,0.0,0.0
0.6742966175079346,0.0,0.0
0.6942691802978516,0.0,0.0
0.7169086933135986,0.0,0.0
0.7342722415924072,0.0,0.0
0.7541964054107666,0.0,0.0
0.7743573188781738,0.0,0.0
0.794374942779541,0.0,0.0
0.8141803741455078,0.0,0.0
0.8341875076293945,0.0,0.0
0.8541476726531982,0.0,0.0
0.8742563724517822,0.0,0.0
0.8942618370056152,0.0,0.0
0.9142823219299316,0.0,0.0
0.934180736541748,0.0,0.0
0.9540979862213135,0.0,0.0
0.9742939472198486,0.0,0.0
0.9941771030426025,0.0,0.0
1.0142796039581299,0.0,0.0
1.0342552661895752,0.0,0.0
1.0543396472930908,0.0,0.0
1.0742881298065186,0.0,0.0
1.0941801071166992,0.0,0.0
1.1142370700836182,0.0,0.0
1.134310245513916,0.0,0.0
1.1543385982513428,0.0,0.0
1.174302339553833,0.0,0.0
1.1945152282714844,0.0,0.0
1.2143752574920654,0.0,0.0
1.2345788478851318,0.0,0.0
1.2545127868652344,0.0,0.0
1.2745466232299805,0.0,0.0
1.2943894863128662,0.0,0.0
1.3145484924316406,0.0,0.0
1.3344957828521729,0.0,0.0
1.354501724243164,0.0,0.0
1.37449049949646,0.0,0.0
1.3943336009979248,0.0,0.0
1.4145228862762451,0.0,0.0
1.4346277713775635,0.0,0.0
1.454498529434204,0.0,0.0
1.474562406539917,0.0,0.0
1.4966139793395996,0.0,0.0
1.514542579650879,0.0,0.0
1.5346741676330566,0.0,0.0
1.554621934890747,0.0,0.0
1.5743753910064697,0.0,0.0
1.5960283279418945,0.0,0.0
1.6144349575042725,0.0,0.0
1.6344354152679443,0.0,0.0
1.654362440109253,0.0,0.0
1.6743574142456055,0.0,0.0
1.6946332454681396,0.0,0.0
1.7144701480865479,0.0,0.0
1.7356846332550049,0.0,0.0
1.7543749809265137,0.0,0.0
1.7754442691802979,0.0,0.0
1.7943308353424072,0.0,0.0
1.8143680095672607,0.0,0.0
1.8344674110412598,0.0,0.0
1.8559634685516357,0.0,0.0
1.8743312358856201,0.0,0.0
1.8943281173706055,0.0,0.0
1.9142932891845703,0.0,0.0
1.934338092803955,0.0,0.0
1.9544134140014648,0.0,0.0
1.9743785858154297,0.0,0.0
1.994290828704834,0.0,0.0
2.014277219772339,0.0,0.0
